Entity;Code;Population ;Median age;GDP per capita, PPP (constant 2017 international $)
Morocco;MAR;36688768;28,4;698628000000000
Mozambique;MOZ;31178242;16,7;12299400000000000
Myanmar;MMR;53423200;28,8;48573900000000
Namibia;NAM;2489099;21,2;8814590000000
Nauru;NRU;12339;20,2;135945000000
Nepal;NPL;29348626;23,2;3800070000000000
Netherlands;NLD;17434562;41,7;543244000000
New Caledonia;NCL;286412;32,8;
New Zealand;NZL;5061130;36,4;4277470000000
Nicaragua;NIC;6755900;24,2;5280100000000
Niger;NER;24333644;14,4;12212700000000000
Nigeria;NGA;208327408;16,9;491672000000000
Niue;NIU;1963;35,8;
North Korea;PRK;25867474;35,4;
North Macedonia;MKD;2111078;38;159314000000000
Northern Mariana Islands;MNP;49611;38,5;
Norway;NOR;5379836;39;63548
Oman;OMN;4543406;28,8;29502100000000
Pakistan;PAK;227196736;20;456262000000000
Palau;PLW;17999;35,6;15473300000000
Palestine;PSE;5019407;19;539407000000000
Panama;PAN;4294391;28,6;253898125
Papua New Guinea;PNG;9749641;21,5;4063730000000000
Paraguay;PRY;6618700;25,3;123896000000000
Peru;PER;33304768;28;11260800000000
Philippines;PHL;112190984;24,3;795358000000000
Poland;POL;38428368;40,5;32398700000000
Portugal;PRT;10298186;44,7;31961800000000
Puerto Rico;PRI;3271570;43,6;32551100000000
Qatar;QAT;2760390;32;85290453125
Reunion;REU;957829;33,7;
Romania;ROU;19442040;41,6;288709000000
Russia;RUS;145617328;38,6;26456400000000
Rwanda;RWA;13146367;18,8;209871000000000
Saint Helena;SHN;5448;49,3;
Saint Kitts and Nevis;KNA;47666;33,6;2431940000000
Saint Lucia;LCA;179245;32,7;12048900000000
Saint Martin (French part);MAF;32577;37,2;
Saint Pierre and Miquelon;SPM;5930;43,6;
Saint Vincent and the Grenadines;VCT;104644;32,8;12044400000000
Samoa;WSM;214934;20,5;64167800000000
San Marino;SMR;34038;45,7;
Sao Tome and Principe;STP;218650;18,2;4051600000000000
Saudi Arabia;SAU;35997108;29,2;4432820000000
Senegal;SEN;16436120;17,6;3320680000000000
Serbia;SRB;7358010;42,8;182551000000
Seychelles;SYC;105545;32,2;24427700000000
Sierra Leone;SLE;8233973;18,6;1637300000000000
Singapore;SGP;5909874;41,2;93397046875
Sint Maarten (Dutch part);SXM;43638;45,8;
Slovakia;SVK;5456681;40,2;3050980000000
Slovenia;SVN;2117648;42,9;37050546875
Solomon Islands;SLB;691198;19,1;2482870000000000
Somalia;SOM;16537018;15,1;11809700000000000
South Africa;ZAF;58801928;26,9;1266580000000
South Korea;KOR;51844688;42,8;423359000000
South Sudan;SSD;10606224;15,8;
Spain;ESP;47363808;43,5;36210875
Sri Lanka;LKA;21715076;32,2;1253690000000
Sudan;SDN;44440484;18,3;39270400000000
Suriname;SUR;607068;27,8;1586460000000
Sweden;SWE;10368968;39,5;50923109375
Switzerland;CHE;8638609;41,7;687554375
Syria;SYR;20772602;20,4;
Taiwan;TWN;23821468;40,8;
Tajikistan;TJK;9543211;21,3;3657570000000000
Tanzania;TZA;61704520;16,7;2635360000000000
Thailand;THA;71475664;38,8;17284700000000
Timor;TLS;1299998;20;39259500000000
Togo;TGO;8442583;18,5;2107880000000000
Tokelau;TKL;1845;26,4;
Tonga;TON;105265;21,4;634700000000000
Trinidad and Tobago;TTO;1518142;35;23722500000000
Tunisia;TUN;12161720;31,4;102601000000000
Turkey;TUR;84135432;30,6;28393500000000
Turkmenistan;TKM;6250442;25,6;
Turks and Caicos Islands;TCA;44297;37;2112690000000
Tuvalu;TUV;11090;24,9;44110000000000
Uganda;UGA;44404608;15,7;2175030000000000
Ukraine;UKR;43909664;40,5;12375921875
United Arab Emirates;ARE;9287286;32;63299421875
United Kingdom;GBR;67059472;39,5;4267578125
United States;USA;335942016;37,5;599198000000
United States Virgin Islands;VIR;100452;42,6;
Uruguay;URY;3429087;35;216084000000
Uzbekistan;UZB;33526662;26,4;733186000000000
Vanuatu;VUT;311694;19,5;285429000000000
Vatican;VAT;809;57,5;
Venezuela;VEN;28490458;27,8;
Vietnam;VNM;96648680;31,6;820033000000
Wallis and Futuna;WLF;11679;35,5;
Western Sahara;ESH;556060;30,5;
World;OWID_WRL;7840952832;29,7;161852000000000
Yemen;YEM;32284044;18,5;
Zambia;ZMB;18927716;16,8;327782000000
Zimbabwe;ZWE;15669663;17,9;3353410000000000
