Entity;Code;Population ;Median age
Saint Vincent and the Grenadines;VCT;104644;32.80
Samoa;WSM;214934;20.50
San Marino;SMR;34038;45.70
Sao Tome and Principe;STP;218650;18.20
Saudi Arabia;SAU;35997108;29.20
Senegal;SEN;16436120;17.60
Serbia;SRB;7358010;42.80
Seychelles;SYC;105545;32.20
Sierra Leone;SLE;8233973;18.60
Singapore;SGP;5909874;41.20
Sint Maarten (Dutch part);SXM;43638;45.80
Slovakia;SVK;5456681;40.20
Slovenia;SVN;2117648;42.90
Solomon Islands;SLB;691198;19.10
Somalia;SOM;16537018;15.10
South Africa;ZAF;58801928;26.90
South Korea;KOR;51844688;42.80
South Sudan;SSD;10606224;15.80
Spain;ESP;47363808;43.50
Sri Lanka;LKA;21715076;32.20
Sudan;SDN;44440484;18.30
Suriname;SUR;607068;27.80
Sweden;SWE;10368968;39.50
Switzerland;CHE;8638609;41.70
Syria;SYR;20772602;20.40
Taiwan;TWN;23821468;40.80
Tajikistan;TJK;9543211;21.30
Tanzania;TZA;61704520;16.70
Thailand;THA;71475664;38.80
Timor;TLS;1299998;20.00
Togo;TGO;8442583;18.50
Tokelau;TKL;1845;26.40
Tonga;TON;105265;21.40
Trinidad and Tobago;TTO;1518142;35.00
Tunisia;TUN;12161720;31.40
Turkey;TUR;84135432;30.60
Turkmenistan;TKM;6250442;25.60
Turks and Caicos Islands;TCA;44297;37.00
Tuvalu;TUV;11090;24.90
Uganda;UGA;44404608;15.70
Ukraine;UKR;43909664;40.50
United Arab Emirates;ARE;9287286;32.00
United Kingdom;GBR;67059472;39.50
United States;USA;335942016;37.50
United States Virgin Islands;VIR;100452;42.60
Uruguay;URY;3429087;35.00
Uzbekistan;UZB;33526662;26.40
Vanuatu;VUT;311694;19.50
Vatican;VAT;809;57.50
Venezuela;VEN;28490458;27.80
Vietnam;VNM;96648680;31.60
Wallis and Futuna;WLF;11679;35.50
Western Sahara;ESH;556060;30.50
World;OWID_WRL;7840952832;29.70
Yemen;YEM;32284044;18.50
Zambia;ZMB;18927716;16.80
Zimbabwe;ZWE;15669663;17.90
